Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Per,3P,3PA,3P_Per,2P,2PA,2P_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
331,Justin Robinson\robinju01,PG,22,WAS,2,0,5.0,1.0,2.0,.500,0.5,0.5,1.000,0.5,1.5,.333,.625,0.0,0.0,,0.5,1.0,1.5,1.0,0.0,0.0,1.0,0.0,2.5
332,Mitchell Robinson\robinmi01,C,21,NYK,6,5,19.2,4.2,5.8,.714,0.0,0.0,,4.2,5.8,.714,.714,1.8,2.5,.733,3.2,3.2,6.3,0.5,0.8,2.2,0.8,3.5,10.2
333,Derrick Rose\rosede01,PG,31,DET,6,0,25.0,8.3,14.8,.562,0.2,0.7,.250,8.2,14.2,.576,.567,4.0,4.5,.889,0.3,1.2,1.5,6.3,1.0,0.5,3.8,1.3,20.8
334,Terrence Ross\rosste01,SG,28,ORL,6,0,22.0,3.0,11.0,.273,1.3,6.8,.195,1.7,4.2,.400,.333,1.3,1.5,.889,0.5,2.8,3.3,1.3,1.0,0.2,1.5,1.8,8.7
335,Terry Rozier\roziete01,PG,25,CHO,6,6,31.0,5.7,13.2,.430,2.0,5.7,.353,3.7,7.5,.489,.506,2.7,3.7,.727,0.5,3.5,4.0,5.8,1.0,0.5,3.3,3.0,16.0
336,Ricky Rubio\rubiori01,PG,29,PHO,5,5,32.4,3.4,9.6,.354,0.6,2.0,.300,2.8,7.6,.368,.385,3.6,4.4,.818,0.8,5.6,6.4,8.2,2.2,0.0,2.8,3.4,11.0
337,D'Angelo Russell\russeda01,SG,23,GSW,5,5,30.4,6.4,16.6,.386,2.2,7.0,.314,4.2,9.6,.438,.452,4.0,5.6,.714,0.4,3.2,3.6,6.4,0.0,0.2,2.0,1.4,19.0
338,Domantas Sabonis\sabondo01,C,23,IND,5,5,36.2,9.0,15.8,.570,0.6,1.4,.429,8.4,14.4,.583,.589,3.2,3.6,.889,3.0,8.4,11.4,2.6,0.6,0.6,2.6,3.8,21.8
339,JaKarr Sampson\sampsja02,SF,26,IND,2,1,15.0,2.0,5.5,.364,0.0,1.0,.000,2.0,4.5,.444,.364,0.0,2.0,.000,1.0,1.5,2.5,0.0,0.0,1.0,1.0,2.0,4.0
340,Dario Šarić\saricda01,PF,25,PHO,6,6,27.3,3.7,9.0,.407,1.3,4.0,.333,2.3,5.0,.467,.481,0.8,1.3,.625,1.5,5.0,6.5,2.3,1.5,0.3,1.0,2.0,9.5
341,Tomáš Satoranský\satorto01,PG,28,CHI,7,7,25.7,2.1,5.9,.366,0.9,2.3,.375,1.3,3.6,.360,.439,1.3,1.3,1.000,0.9,1.1,2.0,5.3,1.1,0.3,1.7,2.0,6.4
342,Admiral Schofield\schofad01,SF,22,WAS,4,0,12.3,1.8,2.5,.700,1.0,1.8,.571,0.8,0.8,1.000,.900,1.0,1.0,1.000,0.5,1.3,1.8,0.3,0.0,0.0,0.0,0.5,5.5
343,Dennis Schröder\schrode01,PG,26,OKC,6,0,28.7,5.8,13.5,.432,1.0,4.0,.250,4.8,9.5,.509,.469,2.3,3.2,.737,1.0,5.0,6.0,4.0,1.3,0.3,2.5,3.3,15.0
344,Mike Scott\scottmi01,PF,31,PHI,5,0,16.4,2.8,5.6,.500,1.4,3.6,.389,1.4,2.0,.700,.625,0.8,0.8,1.000,0.8,2.2,3.0,1.0,0.0,0.0,0.4,2.4,7.8
345,Thabo Sefolosha\sefolth01,SF,35,HOU,5,0,12.6,0.6,2.6,.231,0.4,2.0,.200,0.2,0.6,.333,.308,0.0,0.0,,1.2,2.4,3.6,1.2,0.4,0.4,0.8,1.0,1.6
346,Collin Sexton\sextoco01,PG,21,CLE,6,6,30.3,6.5,15.2,.429,1.7,4.8,.345,4.8,10.3,.468,.484,2.2,3.0,.722,0.7,2.8,3.5,2.0,0.5,0.0,2.0,2.2,16.8
347,Landry Shamet\shamela01,SG,22,LAC,7,7,31.0,3.0,8.3,.362,1.9,5.9,.317,1.1,2.4,.471,.474,1.1,1.1,1.000,0.0,1.4,1.4,2.1,0.4,0.1,1.0,2.9,9.0
348,Pascal Siakam\siakapa01,PF,25,TOR,6,6,33.5,9.7,19.8,.487,2.3,5.5,.424,7.3,14.3,.512,.546,4.3,4.5,.963,1.8,6.7,8.5,3.3,0.7,0.2,3.2,4.5,26.0
349,Chris Silva\silvach01,PF,23,MIA,6,0,9.0,1.3,1.8,.727,0.0,0.0,,1.3,1.8,.727,.727,1.0,1.0,1.000,2.0,1.0,3.0,0.5,0.5,1.2,1.3,2.5,3.7
350,Ben Simmons\simmobe01,PG,23,PHI,5,5,35.4,7.2,13.8,.522,0.0,0.0,,7.2,13.8,.522,.522,2.4,4.6,.522,1.2,5.2,6.4,8.0,2.6,0.6,4.4,3.6,16.8
351,Anfernee Simons\simonan01,SG,20,POR,6,0,16.5,3.5,6.5,.538,1.3,3.2,.421,2.2,3.3,.650,.641,0.5,0.7,.750,0.2,1.2,1.3,0.7,0.7,0.2,1.5,1.5,8.8
