Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Per,3P,3PA,3P_Per,2P,2PA,2P_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Owned,ER3,TER3
389,Russell Westbrook\westbru01,PG,31,HOU,6,6,33.2,7.8,17.0,.461,1.2,4.7,.250,6.7,12.3,.541,.495,4.3,6.5,.667,2.2,7.7,9.8,9.2,1.8,0.7,4.2,2.8,21.2,0,134.501,101.746
390,Coby White\whiteco01,PG,19,CHI,7,0,22.7,4.0,11.1,.359,1.3,4.9,.265,2.7,6.3,.432,.417,1.1,1.6,.727,0.3,3.0,3.3,2.3,0.6,0.0,1.3,1.0,10.4,0,32.050,21.912
391,Derrick White\whitede01,PG,25,SAS,6,1,23.7,4.8,8.7,.558,1.0,2.0,.500,3.8,6.7,.575,.615,3.0,3.7,.818,1.0,2.2,3.2,1.8,0.5,0.5,0.8,3.2,13.7,0,77.942,71.703
392,Hassan Whiteside\whiteha01,C,30,POR,5,5,25.4,5.0,7.8,.641,0.0,0.0,,5.0,7.8,.641,.641,2.8,3.6,.778,3.0,9.2,12.2,0.8,0.6,1.2,2.6,3.8,12.8,0,110.308,90.031
393,Andrew Wiggins\wiggian01,SF,24,MIN,5,5,32.8,7.6,18.0,.422,1.8,6.4,.281,5.8,11.6,.500,.472,3.4,4.2,.810,1.8,3.8,5.6,2.0,0.4,0.6,1.4,1.8,20.4,0,74.021,63.103
394,Grant Williams\willigr01,PF,21,BOS,5,0,18.0,1.6,4.4,.364,0.0,1.6,.000,1.6,2.8,.571,.364,1.4,1.8,.778,1.4,1.6,3.0,1.2,0.8,0.6,0.8,1.8,4.6,0,37.177,30.938
395,Kenrich Williams\willike04,PF,25,NOP,6,0,20.2,1.8,4.5,.407,1.0,2.8,.353,0.8,1.7,.500,.519,0.8,1.5,.556,1.5,2.8,4.3,1.7,1.0,0.7,0.5,2.8,5.5,0,57.639,53.740
396,Lou Williams\willilo02,SG,33,LAC,7,1,30.7,6.7,16.1,.416,1.4,4.4,.323,5.3,11.7,.451,.460,5.4,6.9,.792,0.4,3.0,3.4,4.7,0.4,0.0,2.6,1.1,20.3,0,61.281,41.004
397,Marvin Williams\willima02,PF,33,CHO,6,0,18.0,2.7,5.2,.516,1.7,3.5,.476,1.0,1.7,.600,.677,0.7,0.8,.800,0.5,1.5,2.0,0.7,0.5,0.0,0.5,1.5,7.7,0,47.837,43.938
398,Robert Williams\williro04,C,22,BOS,4,1,15.3,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.3,0.5,.500,1.3,3.8,5.0,2.0,1.3,1.0,0.5,3.0,4.3,0,78.852,74.952
399,Nigel Williams-Goss\willini01,PG,25,UTA,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0,-1.026,-3.366
400,D.J. Wilson\wilsodj01,PF,23,MIL,2,0,4.0,0.5,2.0,.250,0.5,1.5,.333,0.0,0.5,.000,.375,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.5,0,4.520,4.520
401,Justise Winslow\winslju01,SF,23,MIA,4,4,37.8,5.8,15.3,.377,0.8,2.5,.300,5.0,12.8,.392,.402,2.5,4.3,.588,2.0,6.5,8.5,5.8,1.3,0.8,3.5,3.3,14.8,0,75.050,47.754
402,Christian Wood\woodch01,PF,24,DET,6,0,13.7,2.8,4.3,.654,0.8,1.7,.500,2.0,2.7,.750,.750,1.5,2.3,.643,1.0,2.7,3.7,0.0,0.0,0.7,1.0,0.3,8.0,0,51.696,43.897
403,Delon Wright\wrighde01,SG,27,DAL,6,2,25.5,4.2,6.8,.610,1.0,1.7,.600,3.2,5.2,.613,.683,1.5,1.7,.900,0.3,3.2,3.5,4.2,1.7,0.0,0.7,1.3,10.8,0,98.337,92.878
404,Thaddeus Young\youngth01,PF,31,CHI,7,0,23.1,4.7,10.0,.471,1.6,4.4,.355,3.1,5.6,.564,.550,0.1,0.6,.250,0.7,3.0,3.7,1.4,1.3,0.3,1.3,1.4,11.1,0,68.355,58.217
405,Trae Young\youngtr01,PG,21,ATL,4,4,29.8,9.0,17.8,.507,3.5,7.0,.500,5.5,10.8,.512,.606,5.3,6.5,.808,0.5,4.5,5.0,7.3,1.0,0.0,5.0,1.3,26.8,0,144.925,105.930
406,Cody Zeller\zelleco01,C,27,CHO,5,5,29.0,5.8,11.0,.527,0.8,2.4,.333,5.0,8.6,.581,.564,1.6,2.4,.667,4.8,7.6,12.4,1.6,0.6,0.6,1.6,2.8,14.0,0,94.005,81.527
407,Ivica Zubac\zubaciv01,C,22,LAC,7,7,16.6,3.1,4.4,.710,0.0,0.0,,3.1,4.4,.710,.710,2.7,3.1,.864,1.6,4.7,6.3,0.6,0.1,1.6,1.1,2.0,9.0,0,90.754,82.175
